dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-6,-66,50,-92,1.775,-26.8907509357179,-0.0850521363283119
-6,-66,50,-92,1.78,-28.6214750535077,-0.0826364680184644
-6,-66,50,-92,1.785,-30.8413665316252,-0.0807610554426207
-6,-66,50,-92,1.79,-33.8723535990517,-0.0794803262194993
-6,-66,50,-92,1.795,-38.56606833871,-0.0788242361836239
-6,-66,50,-92,1.8,-49.1018335785056,-0.0787963209214445
-6,-66,50,-92,1.805,-46.1897859090267,-0.0793728166100966
-6,-66,50,-92,1.81,-37.8916738500047,-0.08050297674207
-6,-66,50,-92,1.815,-33.8749336358679,-0.0821106682081652
-6,-66,50,-92,1.82,-31.2927853432633,-0.0840972798180784
-6,-66,50,-92,1.825,-29.4564577459779,-0.0863459208272102
-6,-66,50,-92,1.83,-28.0926439128797,-0.0887268286537714
-6,-66,50,-92,1.835,-27.0669945173636,-0.0911038457235501
-6,-66,50,-92,1.84,-26.3056897345556,-0.0933417667876392
-6,-66,50,-92,1.845,-25.7662408929066,-0.0953143009905681
-6,-66,50,-92,1.85,-25.4248362896364,-0.0969123376572373
-6,-66,50,-92,1.855,-25.2705097668623,-0.0980521510170875
-6,-66,50,-92,1.86,-25.3027192218177,-0.0986831266753927
-6,-66,50,-92,1.865,-25.5311414101943,-0.0987945419389038
-6,-66,50,-92,1.87,-25.9775810231965,-0.098420884813795
-6,-66,50,-92,1.875,-26.6808967781954,-0.0976451564947509
-6,-66,50,-92,1.88,-27.7076776460099,-0.0965995762934503
-6,-66,50,-92,1.885,-29.1763159683623,-0.0954631065708805
-6,-66,50,-92,1.89,-31.3190690312451,-0.0944552523413853
-6,-66,50,-92,1.895,-34.6857337083937,-0.0938256828431004
-6,-66,50,-92,1.9,-41.2319916005733,-0.0938393890272651
-6,-66,50,-92,1.905,-53.8969512457967,-0.0947573489431765
-6,-66,50,-92,1.91,-37.448045780207,-0.0968130349964424
-6,-66,50,-92,1.915,-31.9110117959245,-0.100185567131513
-6,-66,50,-92,1.92,-28.4837128827981,-0.104970886902795
-6,-66,50,-92,1.925,-26.0260075280828,-0.11115298059585
-6,-66,50,-92,1.93,-24.1517149216962,-0.11857788995104
-6,-66,50,-92,1.935,-22.6865926012672,-0.126933996186226
-6,-66,50,-92,1.94,-21.5414277012655,-0.135742848919108
-6,-66,50,-92,1.945,-20.6697649105137,-0.144365683204409
-6,-66,50,-92,1.95,-20.0515502013368,-0.152031839591181
-6,-66,50,-92,1.955,-19.6874430216501,-0.157896770015766
-6,-66,50,-92,1.96,-19.5995873778264,-0.161139447518615
-6,-66,50,-92,1.965,-19.8393250544134,-0.161112094348421
-6,-66,50,-92,1.97,-20.5076668906484,-0.157559373799324
-6,-66,50,-92,1.975,-21.8089279651909,-0.15092927243652
-6,-66,50,-92,1.98,-24.2209893183228,-0.142802378469451
-6,-66,50,-92,1.985,-29.3242925868653,-0.136466131397642
-6,-66,50,-92,1.99,-53.4688630562112,-0.137646976974964
-6,-66,50,-92,1.995,-26.3953264902704,-0.155369513262332
-6,-66,50,-92,2.0,-19.6172408135986,-0.2028127138006
-6,-66,50,-92,2.005,-15.28504751679,-0.297857403195494
-6,-66,50,-92,2.01,-12.0420148995163,-0.462788643636608
-6,-66,50,-92,2.015,-9.4684472058287,-0.722475393984568
-6,-66,50,-92,2.02,-7.38681434144638,-1.10060683013184
-6,-66,50,-92,2.025,-5.70568047916702,-1.61449735176197
-6,-66,50,-92,2.03,-4.36544361992114,-2.27028217460322
-6,-66,50,-92,2.035,-3.31605574715897,-3.0608652835526
-6,-66,50,-92,2.04,-2.50933165309969,-3.96777809960171
-6,-66,50,-92,2.045,-1.89867006623397,-4.96589635642677
-6,-66,50,-92,2.05,-1.44145714335155,-6.02867161905008
-6,-66,50,-92,2.055,-1.10122776904541,-7.13199764603876
-6,-66,50,-92,2.06,-0.848509285841429,-8.25613496962649
-6,-66,50,-92,2.065,-0.660481639384535,-9.38608378157127
-6,-66,50,-92,2.07,-0.519990647177696,-10.5110823703449
-6,-66,50,-92,2.075,-0.414380278327705,-11.623778645968
-6,-66,50,-92,2.08,-0.334410696590677,-12.7193910872185
-6,-66,50,-92,2.085,-0.273366893124274,-13.7949950600127
-6,-66,50,-92,2.09,-0.226370786947035,-14.8489674399836
-6,-66,50,-92,2.095,-0.189870128238765,-15.8805760981175
